,E1VFVN30,GOLD,DCDS,MBBOND
2024-01-09,1.0,1.2213698046897722e-25,0.0,1.1100478897322545e-22
2024-01-10,1.0,1.2213698046897722e-25,0.0,1.1100478897322545e-22
2024-01-11,1.0,1.2213698046897722e-25,0.0,1.1100478897322545e-22
2024-01-12,1.0,1.2213698046897722e-25,0.0,1.1100478897322545e-22
2024-01-15,1.0,1.2213698046897722e-25,0.0,1.1100478897322545e-22
2024-01-16,3.3426492388914676e-22,3.338926863463678e-22,1.0,2.2256051926393313e-22
2024-01-17,3.3426492388914676e-22,3.338926863463678e-22,1.0,2.2256051926393313e-22
2024-01-18,3.3426492388914676e-22,3.338926863463678e-22,1.0,2.2256051926393313e-22
2024-01-19,3.3426492388914676e-22,3.338926863463678e-22,1.0,2.2256051926393313e-22
2024-01-22,3.3426492388914676e-22,3.338926863463678e-22,1.0,2.2256051926393313e-22
2024-01-23,1.0,1.1110884551481396e-22,1.1112709696471791e-22,0.0
2024-01-24,1.0,1.1110884551481396e-22,1.1112709696471791e-22,0.0
2024-01-25,1.0,1.1110884551481396e-22,1.1112709696471791e-22,0.0
2024-01-26,1.0,1.1110884551481396e-22,1.1112709696471791e-22,0.0
2024-01-29,1.0,1.1110884551481396e-22,1.1112709696471791e-22,0.0
2024-01-30,1.0,5.550790261428324e-23,1.1120526207450606e-22,1.1100775291469862e-22
2024-01-31,1.0,5.550790261428324e-23,1.1120526207450606e-22,1.1100775291469862e-22
2024-02-01,1.0,5.550790261428324e-23,1.1120526207450606e-22,1.1100775291469862e-22
2024-02-02,1.0,5.550790261428324e-23,1.1120526207450606e-22,1.1100775291469862e-22
2024-02-05,1.0,5.550790261428324e-23,1.1120526207450606e-22,1.1100775291469862e-22
2024-02-06,0.0,0.0,0.0,1.0
2024-02-07,0.0,0.0,0.0,1.0
2024-02-08,0.0,0.0,0.0,1.0
2024-02-09,0.0,0.0,0.0,1.0
2024-02-12,0.0,0.0,0.0,1.0
2024-02-13,0.0,0.0,1.0,0.0
2024-02-14,0.0,0.0,1.0,0.0
2024-02-15,0.0,0.0,1.0,0.0
2024-02-16,0.0,0.0,1.0,0.0
2024-02-19,0.0,0.0,1.0,0.0
2024-02-20,1.0,0.0,1.1105389418406888e-22,1.1094073544834786e-22
2024-02-21,1.0,0.0,1.1105389418406888e-22,1.1094073544834786e-22
2024-02-22,1.0,0.0,1.1105389418406888e-22,1.1094073544834786e-22
2024-02-23,1.0,0.0,1.1105389418406888e-22,1.1094073544834786e-22
2024-02-26,1.0,0.0,1.1105389418406888e-22,1.1094073544834786e-22
2024-02-27,1.0,1.5346376598060128e-26,0.0,0.0
2024-02-28,1.0,1.5346376598060128e-26,0.0,0.0
2024-02-29,1.0,1.5346376598060128e-26,0.0,0.0
2024-03-01,1.0,1.5346376598060128e-26,0.0,0.0
2024-03-04,1.0,1.5346376598060128e-26,0.0,0.0
2024-03-05,1.0,2.5657276120686276e-25,2.801571958677414e-25,7.593601458897698e-26
2024-03-06,1.0,2.5657276120686276e-25,2.801571958677414e-25,7.593601458897698e-26
2024-03-07,1.0,2.5657276120686276e-25,2.801571958677414e-25,7.593601458897698e-26
2024-03-08,1.0,2.5657276120686276e-25,2.801571958677414e-25,7.593601458897698e-26
2024-03-11,1.0,2.5657276120686276e-25,2.801571958677414e-25,7.593601458897698e-26
2024-03-12,0.0,3.879646641136838e-24,4.1086354839156595e-24,1.0
2024-03-13,0.0,3.879646641136838e-24,4.1086354839156595e-24,1.0
2024-03-14,0.0,3.879646641136838e-24,4.1086354839156595e-24,1.0
2024-03-15,0.0,3.879646641136838e-24,4.1086354839156595e-24,1.0
2024-03-18,0.0,3.879646641136838e-24,4.1086354839156595e-24,1.0
2024-03-19,2.1905668086346572e-23,1.116689256422088e-22,1.0,3.0320127429005323e-25
2024-03-20,2.1905668086346572e-23,1.116689256422088e-22,1.0,3.0320127429005323e-25
2024-03-21,2.1905668086346572e-23,1.116689256422088e-22,1.0,3.0320127429005323e-25
2024-03-22,2.1905668086346572e-23,1.116689256422088e-22,1.0,3.0320127429005323e-25
2024-03-25,2.1905668086346572e-23,1.116689256422088e-22,1.0,3.0320127429005323e-25
2024-03-26,0.0,0.5095731201171623,0.4904268798828378,1.7155003108727307e-22
2024-03-27,0.0,0.5095731201171623,0.4904268798828378,1.7155003108727307e-22
2024-03-28,0.0,0.5095731201171623,0.4904268798828378,1.7155003108727307e-22
2024-03-29,0.0,0.5095731201171623,0.4904268798828378,1.7155003108727307e-22
2024-04-01,0.0,0.5095731201171623,0.4904268798828378,1.7155003108727307e-22
2024-04-02,0.0,0.6299895208830911,0.37001047911690893,0.0
2024-04-03,0.0,0.6299895208830911,0.37001047911690893,0.0
2024-04-04,0.0,0.6299895208830911,0.37001047911690893,0.0
2024-04-05,0.0,0.6299895208830911,0.37001047911690893,0.0
2024-04-08,0.0,0.6299895208830911,0.37001047911690893,0.0
2024-04-09,1.816070584349572e-22,0.476416958588461,0.523583041411539,1.1641764252219044e-22
2024-04-10,1.816070584349572e-22,0.476416958588461,0.523583041411539,1.1641764252219044e-22
2024-04-11,1.816070584349572e-22,0.476416958588461,0.523583041411539,1.1641764252219044e-22
2024-04-12,1.816070584349572e-22,0.476416958588461,0.523583041411539,1.1641764252219044e-22
2024-04-15,1.816070584349572e-22,0.476416958588461,0.523583041411539,1.1641764252219044e-22
2024-04-16,8.219578641651542e-24,5.17947221253232e-24,0.6883369870494045,0.3116630129505955
2024-04-17,8.219578641651542e-24,5.17947221253232e-24,0.6883369870494045,0.3116630129505955
2024-04-18,8.219578641651542e-24,5.17947221253232e-24,0.6883369870494045,0.3116630129505955
2024-04-19,8.219578641651542e-24,5.17947221253232e-24,0.6883369870494045,0.3116630129505955
2024-04-22,8.219578641651542e-24,5.17947221253232e-24,0.6883369870494045,0.3116630129505955
2024-04-23,0.2004073129650584,0.7995926870349416,2.1928963568953126e-23,2.6063391483563683e-23
2024-04-24,0.2004073129650584,0.7995926870349416,2.1928963568953126e-23,2.6063391483563683e-23
2024-04-25,0.2004073129650584,0.7995926870349416,2.1928963568953126e-23,2.6063391483563683e-23
2024-04-26,0.2004073129650584,0.7995926870349416,2.1928963568953126e-23,2.6063391483563683e-23
2024-04-29,0.2004073129650584,0.7995926870349416,2.1928963568953126e-23,2.6063391483563683e-23
2024-04-30,0.4244896381856171,1.2583737264066764e-22,0.5755103618143829,1.2456154314229717e-22
2024-05-01,0.4244896381856171,1.2583737264066764e-22,0.5755103618143829,1.2456154314229717e-22
2024-05-02,0.4244896381856171,1.2583737264066764e-22,0.5755103618143829,1.2456154314229717e-22
2024-05-03,0.4244896381856171,1.2583737264066764e-22,0.5755103618143829,1.2456154314229717e-22
2024-05-06,0.4244896381856171,1.2583737264066764e-22,0.5755103618143829,1.2456154314229717e-22
2024-05-07,0.0,1.0,0.0,0.0
2024-05-08,0.0,1.0,0.0,0.0
2024-05-09,0.0,1.0,0.0,0.0
2024-05-10,0.0,1.0,0.0,0.0
2024-05-13,0.0,1.0,0.0,0.0
2024-05-14,0.5888904197300882,0.41110958026991185,5.473154600913769e-23,0.0
2024-05-15,0.5888904197300882,0.41110958026991185,5.473154600913769e-23,0.0
2024-05-16,0.5888904197300882,0.41110958026991185,5.473154600913769e-23,0.0
2024-05-17,0.5888904197300882,0.41110958026991185,5.473154600913769e-23,0.0
2024-05-20,0.5888904197300882,0.41110958026991185,5.473154600913769e-23,0.0
2024-05-21,1.0,5.546893730014583e-23,5.540221155963987e-23,2.219989487354767e-22
2024-05-22,1.0,5.546893730014583e-23,5.540221155963987e-23,2.219989487354767e-22
2024-05-23,1.0,5.546893730014583e-23,5.540221155963987e-23,2.219989487354767e-22
2024-05-24,1.0,5.546893730014583e-23,5.540221155963987e-23,2.219989487354767e-22
2024-05-27,1.0,5.546893730014583e-23,5.540221155963987e-23,2.219989487354767e-22
2024-05-28,3.333429641820219e-22,1.0,1.112464469830015e-22,1.1112165279544752e-22
2024-05-29,3.333429641820219e-22,1.0,1.112464469830015e-22,1.1112165279544752e-22
2024-05-30,3.333429641820219e-22,1.0,1.112464469830015e-22,1.1112165279544752e-22
2024-05-31,3.333429641820219e-22,1.0,1.112464469830015e-22,1.1112165279544752e-22
2024-06-03,3.333429641820219e-22,1.0,1.112464469830015e-22,1.1112165279544752e-22
2024-06-04,2.982602085114607e-23,0.7579570434385945,0.2420429565614055,0.0
2024-06-05,2.982602085114607e-23,0.7579570434385945,0.2420429565614055,0.0
2024-06-06,2.982602085114607e-23,0.7579570434385945,0.2420429565614055,0.0
2024-06-07,2.982602085114607e-23,0.7579570434385945,0.2420429565614055,0.0
2024-06-10,2.982602085114607e-23,0.7579570434385945,0.2420429565614055,0.0
2024-06-11,1.0,0.0,0.0,0.0
2024-06-12,1.0,0.0,0.0,0.0
2024-06-13,1.0,0.0,0.0,0.0
2024-06-14,1.0,0.0,0.0,0.0
2024-06-17,1.0,0.0,0.0,0.0
2024-06-18,0.7220387452011905,9.464165666407062e-23,0.2779612547988095,1.1747635082754554e-22
2024-06-19,0.7220387452011905,9.464165666407062e-23,0.2779612547988095,1.1747635082754554e-22
2024-06-20,0.7220387452011905,9.464165666407062e-23,0.2779612547988095,1.1747635082754554e-22
2024-06-21,0.7220387452011905,9.464165666407062e-23,0.2779612547988095,1.1747635082754554e-22
2024-06-24,0.7220387452011905,9.464165666407062e-23,0.2779612547988095,1.1747635082754554e-22
2024-06-25,1.0,8.033156557726162e-23,8.598008244620583e-23,1.662842970788144e-22
2024-06-26,1.0,8.033156557726162e-23,8.598008244620583e-23,1.662842970788144e-22
2024-06-27,1.0,8.033156557726162e-23,8.598008244620583e-23,1.662842970788144e-22
2024-06-28,1.0,8.033156557726162e-23,8.598008244620583e-23,1.662842970788144e-22
2024-07-01,1.0,8.033156557726162e-23,8.598008244620583e-23,1.662842970788144e-22
2024-07-02,6.2436023436741546e-24,5.9961952596804066e-24,5.5108939071858864e-24,1.0
2024-07-03,6.2436023436741546e-24,5.9961952596804066e-24,5.5108939071858864e-24,1.0
2024-07-04,6.2436023436741546e-24,5.9961952596804066e-24,5.5108939071858864e-24,1.0
2024-07-05,6.2436023436741546e-24,5.9961952596804066e-24,5.5108939071858864e-24,1.0
2024-07-08,6.2436023436741546e-24,5.9961952596804066e-24,5.5108939071858864e-24,1.0
2024-07-09,0.0,2.279457632135424e-22,5.4663449358342615e-24,1.0
2024-07-10,0.0,2.279457632135424e-22,5.4663449358342615e-24,1.0
2024-07-11,0.0,2.279457632135424e-22,5.4663449358342615e-24,1.0
2024-07-12,0.0,2.279457632135424e-22,5.4663449358342615e-24,1.0
2024-07-15,0.0,2.279457632135424e-22,5.4663449358342615e-24,1.0
2024-07-16,3.1760588055732764e-23,1.6528612795497457e-23,1.0,1.6535614686758786e-23
2024-07-17,3.1760588055732764e-23,1.6528612795497457e-23,1.0,1.6535614686758786e-23
2024-07-18,3.1760588055732764e-23,1.6528612795497457e-23,1.0,1.6535614686758786e-23
2024-07-19,3.1760588055732764e-23,1.6528612795497457e-23,1.0,1.6535614686758786e-23
2024-07-22,3.1760588055732764e-23,1.6528612795497457e-23,1.0,1.6535614686758786e-23
2024-07-23,1.1472299551225755e-24,0.6927628464522768,0.3072371535477232,0.0
2024-07-24,1.1472299551225755e-24,0.6927628464522768,0.3072371535477232,0.0
2024-07-25,1.1472299551225755e-24,0.6927628464522768,0.3072371535477232,0.0
2024-07-26,1.1472299551225755e-24,0.6927628464522768,0.3072371535477232,0.0
2024-07-29,1.1472299551225755e-24,0.6927628464522768,0.3072371535477232,0.0
2024-07-30,1.6415702068323542e-24,1.0,8.240126369059955e-25,0.0
2024-07-31,1.6415702068323542e-24,1.0,8.240126369059955e-25,0.0
2024-08-01,1.6415702068323542e-24,1.0,8.240126369059955e-25,0.0
2024-08-02,1.6415702068323542e-24,1.0,8.240126369059955e-25,0.0
2024-08-05,1.6415702068323542e-24,1.0,8.240126369059955e-25,0.0
2024-08-06,0.15680535629262984,0.0,0.8431946437073702,2.7763341746349626e-23
2024-08-07,0.15680535629262984,0.0,0.8431946437073702,2.7763341746349626e-23
2024-08-08,0.15680535629262984,0.0,0.8431946437073702,2.7763341746349626e-23
2024-08-09,0.15680535629262984,0.0,0.8431946437073702,2.7763341746349626e-23
2024-08-12,0.15680535629262984,0.0,0.8431946437073702,2.7763341746349626e-23
2024-08-13,1.998508787675164e-24,0.0,1.0,7.576466344626688e-25
2024-08-14,1.998508787675164e-24,0.0,1.0,7.576466344626688e-25
2024-08-15,1.998508787675164e-24,0.0,1.0,7.576466344626688e-25
2024-08-16,1.998508787675164e-24,0.0,1.0,7.576466344626688e-25
2024-08-19,1.998508787675164e-24,0.0,1.0,7.576466344626688e-25
2024-08-20,0.0,5.070856331475177e-25,1.0,5.688896749315526e-25
2024-08-21,0.0,5.070856331475177e-25,1.0,5.688896749315526e-25
2024-08-22,0.0,5.070856331475177e-25,1.0,5.688896749315526e-25
2024-08-23,0.0,5.070856331475177e-25,1.0,5.688896749315526e-25
2024-08-26,0.0,5.070856331475177e-25,1.0,5.688896749315526e-25
2024-08-27,0.2978664276747795,2.5249063316459574e-23,0.7021335723252204,0.0
2024-08-28,0.2978664276747795,2.5249063316459574e-23,0.7021335723252204,0.0
2024-08-29,0.2978664276747795,2.5249063316459574e-23,0.7021335723252204,0.0
2024-08-30,0.2978664276747795,2.5249063316459574e-23,0.7021335723252204,0.0
2024-09-02,0.2978664276747795,2.5249063316459574e-23,0.7021335723252204,0.0
2024-09-03,0.0,1.4550532313847525e-22,1.0,1.4492517216924696e-22
2024-09-04,0.0,1.4550532313847525e-22,1.0,1.4492517216924696e-22
2024-09-05,0.0,1.4550532313847525e-22,1.0,1.4492517216924696e-22
2024-09-06,0.0,1.4550532313847525e-22,1.0,1.4492517216924696e-22
2024-09-09,0.0,1.4550532313847525e-22,1.0,1.4492517216924696e-22
2024-09-10,0.23633972711307336,0.0,0.7636602728869266,2.570000448080215e-23
2024-09-11,0.23633972711307336,0.0,0.7636602728869266,2.570000448080215e-23
2024-09-12,0.23633972711307336,0.0,0.7636602728869266,2.570000448080215e-23
2024-09-13,0.23633972711307336,0.0,0.7636602728869266,2.570000448080215e-23
2024-09-16,0.23633972711307336,0.0,0.7636602728869266,2.570000448080215e-23
2024-09-17,1.0,2.2435386337458315e-26,0.0,0.0
2024-09-18,1.0,2.2435386337458315e-26,0.0,0.0
2024-09-19,1.0,2.2435386337458315e-26,0.0,0.0
2024-09-20,1.0,2.2435386337458315e-26,0.0,0.0
2024-09-23,1.0,2.2435386337458315e-26,0.0,0.0
2024-09-24,2.0458656909299955e-24,4.901678754781714e-25,1.4888688629758834e-25,1.0
2024-09-25,2.0458656909299955e-24,4.901678754781714e-25,1.4888688629758834e-25,1.0
2024-09-26,2.0458656909299955e-24,4.901678754781714e-25,1.4888688629758834e-25,1.0
2024-09-27,2.0458656909299955e-24,4.901678754781714e-25,1.4888688629758834e-25,1.0
2024-09-30,2.0458656909299955e-24,4.901678754781714e-25,1.4888688629758834e-25,1.0
2024-10-01,0.0,0.0,2.188757829075071e-26,1.0
2024-10-02,0.0,0.0,2.188757829075071e-26,1.0
2024-10-03,0.0,0.0,2.188757829075071e-26,1.0
2024-10-04,0.0,0.0,2.188757829075071e-26,1.0
2024-10-07,0.0,0.0,2.188757829075071e-26,1.0
2024-10-08,0.0,0.0,1.0,0.0
2024-10-09,0.0,0.0,1.0,0.0
2024-10-10,0.0,0.0,1.0,0.0
2024-10-11,0.0,0.0,1.0,0.0
2024-10-14,0.0,0.0,1.0,0.0
2024-10-15,1.306670454802608e-22,0.0973337527585385,0.9026662472414615,6.299383815013551e-23
2024-10-16,1.306670454802608e-22,0.0973337527585385,0.9026662472414615,6.299383815013551e-23
2024-10-17,1.306670454802608e-22,0.0973337527585385,0.9026662472414615,6.299383815013551e-23
2024-10-18,1.306670454802608e-22,0.0973337527585385,0.9026662472414615,6.299383815013551e-23
2024-10-21,1.306670454802608e-22,0.0973337527585385,0.9026662472414615,6.299383815013551e-23
2024-10-22,0.7327612739864326,0.0,0.2672387260135674,0.0
2024-10-23,0.7327612739864326,0.0,0.2672387260135674,0.0
2024-10-24,0.7327612739864326,0.0,0.2672387260135674,0.0
2024-10-25,0.7327612739864326,0.0,0.2672387260135674,0.0
2024-10-28,0.7327612739864326,0.0,0.2672387260135674,0.0
2024-10-29,1.0,1.109077562767663e-22,1.1087779773871694e-22,9.707934213688968e-23
2024-10-30,1.0,1.109077562767663e-22,1.1087779773871694e-22,9.707934213688968e-23
2024-10-31,1.0,1.109077562767663e-22,1.1087779773871694e-22,9.707934213688968e-23
2024-11-01,1.0,1.109077562767663e-22,1.1087779773871694e-22,9.707934213688968e-23
2024-11-04,1.0,1.109077562767663e-22,1.1087779773871694e-22,9.707934213688968e-23
2024-11-05,0.0,1.0,1.11629671209045e-22,1.115978203529584e-22
2024-11-06,0.0,1.0,1.11629671209045e-22,1.115978203529584e-22
2024-11-07,0.0,1.0,1.11629671209045e-22,1.115978203529584e-22
2024-11-08,0.0,1.0,1.11629671209045e-22,1.115978203529584e-22
2024-11-11,0.0,1.0,1.11629671209045e-22,1.115978203529584e-22
2024-11-12,1.1356339590922195e-22,1.1331508183798762e-22,1.0,6.866391289126032e-25
2024-11-13,1.1356339590922195e-22,1.1331508183798762e-22,1.0,6.866391289126032e-25
2024-11-14,1.1356339590922195e-22,1.1331508183798762e-22,1.0,6.866391289126032e-25
2024-11-15,1.1356339590922195e-22,1.1331508183798762e-22,1.0,6.866391289126032e-25
2024-11-18,1.1356339590922195e-22,1.1331508183798762e-22,1.0,6.866391289126032e-25
2024-11-19,2.704574261305365e-23,2.492572300936786e-22,1.0,2.759021505434965e-23
2024-11-20,2.704574261305365e-23,2.492572300936786e-22,1.0,2.759021505434965e-23
2024-11-21,2.704574261305365e-23,2.492572300936786e-22,1.0,2.759021505434965e-23
2024-11-22,2.704574261305365e-23,2.492572300936786e-22,1.0,2.759021505434965e-23
2024-11-25,2.704574261305365e-23,2.492572300936786e-22,1.0,2.759021505434965e-23
2024-11-26,0.33031488975332235,1.3672365657013373e-22,0.6696851102466777,2.6431132715267394e-23
2024-11-27,0.33031488975332235,1.3672365657013373e-22,0.6696851102466777,2.6431132715267394e-23
2024-11-28,0.33031488975332235,1.3672365657013373e-22,0.6696851102466777,2.6431132715267394e-23
2024-11-29,0.33031488975332235,1.3672365657013373e-22,0.6696851102466777,2.6431132715267394e-23
2024-12-02,0.33031488975332235,1.3672365657013373e-22,0.6696851102466777,2.6431132715267394e-23
2024-12-03,0.8891556707459837,5.259842218980248e-24,0.11084432925401627,0.0
2024-12-04,0.8891556707459837,5.259842218980248e-24,0.11084432925401627,0.0
2024-12-05,0.8891556707459837,5.259842218980248e-24,0.11084432925401627,0.0
2024-12-06,0.8891556707459837,5.259842218980248e-24,0.11084432925401627,0.0
2024-12-09,0.8891556707459837,5.259842218980248e-24,0.11084432925401627,0.0
2024-12-10,2.727314307709876e-22,0.19757695819276822,0.0,0.8024230418072318
2024-12-11,2.727314307709876e-22,0.19757695819276822,0.0,0.8024230418072318
2024-12-12,2.727314307709876e-22,0.19757695819276822,0.0,0.8024230418072318
2024-12-13,2.727314307709876e-22,0.19757695819276822,0.0,0.8024230418072318
2024-12-16,2.727314307709876e-22,0.19757695819276822,0.0,0.8024230418072318
2024-12-17,1.1182611686780935e-22,4.769223531450344e-25,1.0,1.1149899545677464e-22
2024-12-18,1.1182611686780935e-22,4.769223531450344e-25,1.0,1.1149899545677464e-22
2024-12-19,1.1182611686780935e-22,4.769223531450344e-25,1.0,1.1149899545677464e-22
2024-12-20,1.1182611686780935e-22,4.769223531450344e-25,1.0,1.1149899545677464e-22
2024-12-23,1.1182611686780935e-22,4.769223531450344e-25,1.0,1.1149899545677464e-22
2024-12-24,1.4744239970440144e-24,1.0,4.0576444402189186e-25,0.0
2024-12-25,1.4744239970440144e-24,1.0,4.0576444402189186e-25,0.0
2024-12-26,1.4744239970440144e-24,1.0,4.0576444402189186e-25,0.0
2024-12-27,1.4744239970440144e-24,1.0,4.0576444402189186e-25,0.0
2024-12-30,1.4744239970440144e-24,1.0,4.0576444402189186e-25,0.0
2024-12-31,1.7619858551310976e-22,0.16523607599352863,0.8347639240064714,3.371567331107861e-23
2025-01-01,1.7619858551310976e-22,0.16523607599352863,0.8347639240064714,3.371567331107861e-23
2025-01-02,1.7619858551310976e-22,0.16523607599352863,0.8347639240064714,3.371567331107861e-23
2025-01-03,1.7619858551310976e-22,0.16523607599352863,0.8347639240064714,3.371567331107861e-23
2025-01-06,1.7619858551310976e-22,0.16523607599352863,0.8347639240064714,3.371567331107861e-23
2025-01-07,1.0,0.0,0.0,0.0
2025-01-08,1.0,0.0,0.0,0.0
2025-01-09,1.0,0.0,0.0,0.0
2025-01-10,1.0,0.0,0.0,0.0
2025-01-13,1.0,0.0,0.0,0.0
2025-01-14,0.16984389882625128,2.5910744195963346e-23,0.8301561011737487,0.0
2025-01-15,0.16984389882625128,2.5910744195963346e-23,0.8301561011737487,0.0
2025-01-16,0.16984389882625128,2.5910744195963346e-23,0.8301561011737487,0.0
2025-01-17,0.16984389882625128,2.5910744195963346e-23,0.8301561011737487,0.0
2025-01-20,0.16984389882625128,2.5910744195963346e-23,0.8301561011737487,0.0
2025-01-21,1.0,1.110615354218642e-22,1.1117106039828485e-22,1.1105032673838835e-22
2025-01-22,1.0,1.110615354218642e-22,1.1117106039828485e-22,1.1105032673838835e-22
2025-01-23,1.0,1.110615354218642e-22,1.1117106039828485e-22,1.1105032673838835e-22
2025-01-24,1.0,1.110615354218642e-22,1.1117106039828485e-22,1.1105032673838835e-22
2025-01-27,1.0,1.110615354218642e-22,1.1117106039828485e-22,1.1105032673838835e-22
2025-01-28,1.0,2.220547138661383e-22,2.221811094051224e-22,1.110324909675295e-22
2025-01-29,1.0,2.220547138661383e-22,2.221811094051224e-22,1.110324909675295e-22
2025-01-30,1.0,2.220547138661383e-22,2.221811094051224e-22,1.110324909675295e-22
2025-01-31,1.0,2.220547138661383e-22,2.221811094051224e-22,1.110324909675295e-22
2025-02-03,1.0,2.220547138661383e-22,2.221811094051224e-22,1.110324909675295e-22
2025-02-04,1.0,1.1099684425157839e-22,2.2195715259464296e-22,1.1099578681507204e-22
2025-02-05,1.0,1.1099684425157839e-22,2.2195715259464296e-22,1.1099578681507204e-22
2025-02-06,1.0,1.1099684425157839e-22,2.2195715259464296e-22,1.1099578681507204e-22
2025-02-07,1.0,1.1099684425157839e-22,2.2195715259464296e-22,1.1099578681507204e-22
2025-02-10,1.0,1.1099684425157839e-22,2.2195715259464296e-22,1.1099578681507204e-22
2025-02-11,1.0,0.0,0.0,1.0221540282844367e-26
2025-02-12,1.0,0.0,0.0,1.0221540282844367e-26
2025-02-13,1.0,0.0,0.0,1.0221540282844367e-26
2025-02-14,1.0,0.0,0.0,1.0221540282844367e-26
2025-02-17,1.0,0.0,0.0,1.0221540282844367e-26
2025-02-18,1.0,0.0,7.707614229378438e-26,0.0
2025-02-19,1.0,0.0,7.707614229378438e-26,0.0
2025-02-20,1.0,0.0,7.707614229378438e-26,0.0
2025-02-21,1.0,0.0,7.707614229378438e-26,0.0
2025-02-24,1.0,0.0,7.707614229378438e-26,0.0
2025-02-25,3.4342491079083866e-23,1.0,1.0722824842556438e-23,3.8722428590780734e-23
2025-02-26,3.4342491079083866e-23,1.0,1.0722824842556438e-23,3.8722428590780734e-23
2025-02-27,3.4342491079083866e-23,1.0,1.0722824842556438e-23,3.8722428590780734e-23
